sentence	label
inane and awful 	0
told in scattered fashion 	0
takes chances that are bold by studio standards 	1
believe it or not , jason actually takes a backseat in his own film to special effects 	0
only thing to fear about `` fear dot com '' 	0
whole mess 	0
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor 	1
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . 	1
a résumé loaded with credits like `` girl in bar # 3 	0
enjoy the ride 	1
very little to add beyond the dark visions already relayed by superb recent predecessors 	0
the , yes , snail-like pacing 	0
an extremely unpleasant film . 	0
if it is n't entirely persuasive , it does give exposure to some talented performers 	1
the whole affair , true story or not , feels incredibly hokey ... 	0
are all things we 've seen before 	0
poignant and leavened 	1
breathless anticipation 	1
significantly better 	1
as predictable as the tides 	0
bewilderingly brilliant and entertaining 	1
it 's smooth and professional 	1
, unassuming , subordinate 	0
the horror 	0
a technically superb film 	1
the positive change in tone here seems to have recharged him . 	1
pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators 	1
a dim 	0
, vicious and absurd 	0
because he acts so goofy all the time 	0
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside 	1
's at once laughable and compulsively watchable , 	1
merit its 103-minute length 	1
the value and respect for the term epic cinema 	1
as a dentist 's waiting room 	0
showing honest emotions 	1
amazingly lame . 	0
confessions may not be a straightforward bio 	0
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little 	0
the story is bogus and 	0
this comic gem is as delightful as it is derivative . 	1
to spare wildlife 	1
ugly as the shabby digital photography 	0
understand the difference between dumb fun and just plain dumb 	0
traditionally structured 	1
frida is n't that much different from many a hollywood romance . 	0
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . 	1
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time 	1
was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) 	0
carnage and 	0
degraded , handheld blair witch video-cam footage 	0
second fiddle 	0
about the folly of superficiality that is itself 	0
serves as auto-critique , and its clumsiness as its own most damning censure . 	0
tedious norwegian offering which somehow snagged an oscar nomination . 	0
, esther kahn is unusual but unfortunately also irritating . 	0
a stylish exercise 	1
halfway through this picture i was beginning to hate it 	0
a setup so easy it borders on facile 	0
a thoroughly awful movie 	0
takes hold and grips hard 	1
look smeary and blurry , to the point of distraction 	0
the picture 's fascinating byways 	1
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves 	0
breezy , distracted rhythms 	0
than this mess 	0
evanescent , seamless and sumptuous stream 	1
slick and manufactured to claim street credibility . 	1
take care is nicely performed by a quintet of actresses , 	1
valuable messages 	1
in no small part thanks to lau 	1
two guys who desperately want to be quentin tarantino when they grow up 	0
no new plot conceptions 	0
essentially a collection of bits -- 	0
does n't bode well for the rest of it 	0
elevated by it -- the kind of movie 	1
usual worst 	0
hugh grant , who has a good line in charm 	1
arrive early and stay late 	1
is a pan-american movie , with moments of genuine insight into the urban heart . 	1
i could have used my two hours better watching being john malkovich again . 	0
shot in artful , watery tones of blue , green and brown 	1
an unorthodox little film noir organized crime story that includes one of the strangest 	1
considerable aplomb 	1
acted by diane lane and richard gere . 	1
scant 	0
an admittedly middling film 	1
too ludicrous 	0
the rock 's fighting skills are more in line with steven seagal 	1
rich and full 	1
warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . 	1
that uses a sensational , real-life 19th-century crime as a metaphor for 	1
, home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	1
, the film retains ambiguities that make it well worth watching . 	1
ultra-cheesy dialogue 	0
added depth and resonance 	1
the sensational 	1
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them 	1
handsome but unfulfilling suspense drama 	0
's not very good either . 	0
